tgas_row,tgas_ra,tgas_dec,tgas_distance,gx,gy,gz,tgas_glon,tgas_glat,tgas_gmag,hip,tyc,hip_tyc_id,source_id,tmass_j
382720,204.86346089103392,61.0617269668894,102.40781962098133,-22.697253338598117,53.998667381536336,84.0020245674183,112.79846742513446,55.111792067500176,11.72415202928237,,b'4164-274-1',TYC 4164-274-1,1662855584317183744,10.187000274658203
357377,210.58975157045958,52.41774133946887,94.27142973546685,-7.87439994744823,44.36517365587562,82.80596389343398,100.06464422132673,61.447333568391414,10.153631458857628,,b'3471-333-1',TYC 3471-333-1,1512773174838690176,9.032999992370605
368772,223.2700355755402,51.261151718936624,102.57772115682292,2.2824052202020906,56.244647826472345,85.75266232026739,87.67621313456895,56.71775424302953,9.76622383382428,,b'3480-1209-1',TYC 3480-1209-1,1593570580647402880,8.79699993133545
371207,213.8206956118839,52.53590899128674,96.4109570880728,-5.842278324035786,47.609160211617514,83.63198129045642,96.99597760118118,60.16400462400853,6.57430816849795,69650.0,b'',HIP 69650,1608103444306993664,6.36299991607666
369033,234.4599741626444,51.5376834214845,105.0117127938793,8.722201287315164,66.30385392380354,80.96407835243156,82.50583016202455,50.44381341494597,10.79316026235719,,b'3489-1148-1',TYC 3489-1148-1,1595101822387773952,9.555000305175781
363658,206.31848758454257,52.24726328471359,100.60976028524304,-11.604304539975265,44.28794914880995,89.58929367390948,104.68254160641747,62.93151422804342,10.359910221236333,,b'3470-485-1',TYC 3470-485-1,1560784140339987200,9.034000396728516
363790,205.40212411700534,53.33750797454741,99.8692573291799,-13.462200012552893,44.604888075709525,88.33482716379424,106.79433629550901,62.190628808996756,9.535972500682451,,b'3851-336-1',TYC 3851-336-1,1561660244948427136,8.576000213623047
369814,230.8161783378828,54.848225889077824,111.6600643817604,1.58051585791878,70.29362043763115,86.74260125873556,88.71194830286233,50.972637847734205,10.893931764836896,,b'3868-177-1',TYC 3868-177-1,1599791686156814464,9.612000465393066
372248,225.82013998946223,59.01151843180919,102.04030726081662,-7.4061352259735775,64.01190052010983,79.11921421942976,96.5997371642927,50.838785427233496,9.237704884731773,,b'3867-127-1',TYC 3867-127-1,1614204909207430016,8.395000457763672
371100,222.01172645500267,56.1591991588012,97.5899869701021,-5.232638571138347,56.775978633698884,79.20172536374635,95.2656673278279,54.25023090024332,9.745962506301515,72389.0,b'',HIP 72389,1607476276002557696,8.595000267028809
363805,205.7823601124948,54.02590356108611,96.1765836857527,-13.40410376536139,43.93518882799278,84.49831024558205,106.96632282346819,61.47089998523361,9.49372247901994,,b'3851-369-1',TYC 3851-369-1,1561779885557421568,8.536999702453613
337950,237.50529660640942,45.92062511654666,106.32776405380677,19.71483682356355,65.17431630938556,81.66533604477743,73.16974868548405,50.17935170571623,10.771920073142304,,b'3490-1083-1',TYC 3490-1083-1,1397870979920928256,9.597000122070312
372256,226.07328062342006,59.53505300186165,111.53076562777947,-8.787253912077716,70.54259871372604,85.93973246943213,97.10056396906565,50.40306175582851,7.381213412590547,73730.0,b'',HIP 73730,1614257101650827648,7.074999809265137
357282,211.95506871860417,51.95266127205362,100.41735898044287,-6.770413028559029,47.695034471492875,88.10783835047229,98.07927985468908,61.33225812965442,11.006895095083674,,b'3471-233-1',TYC 3471-233-1,1512032310160308608,9.668000221252441
338716,234.13472550343712,48.27970243137193,104.02623228758752,13.660518032343383,62.9149513706063,81.71019609004364,77.74969930060419,51.76480117792456,11.13477945794967,,b'3486-1405-1',TYC 3486-1405-1,1401952435802814336,9.836000442504883
371015,219.8597970651706,54.7740556665048,91.41109023405404,-4.3921946793689335,50.812584435889,75.86024852729221,94.94031443585638,56.086426386184485,9.623244105427656,,b'3860-1483-1',TYC 3860-1483-1,1606929440766429568,8.625
339279,240.2784638748479,53.41639716344414,116.42572325669038,9.288753973348154,79.64155374823913,84.4149927562184,83.34753127206706,46.47337982007202,10.147944743075879,,b'3877-725-1',TYC 3877-725-1,1405026601594578560,9.164999961853027
372787,220.63149434933874,60.230960977805815,106.30235971882868,-12.427633689813723,64.42407020700364,83.63781908100023,100.91844472507475,51.88669622100423,8.023712538936937,71911.0,b'',HIP 71911,1617349856060647168,7.426000118255615
384055,209.67122783780786,63.68876516499591,94.45318659406985,-20.867377916297066,54.49024442947409,74.27496387537849,110.95464894299789,51.847377604432644,10.960957161136074,,b'4174-1117-1',TYC 4174-1117-1,1670841887025625600,9.355999946594238
373048,219.82001842574564,61.93125707100446,101.47075892947628,-14.603114590733904,62.363001902655625,78.70146094999224,103.17909898969454,50.860122963302985,10.202478525533976,,b'4173-609-1',TYC 4173-609-1,1618811484970897664,9.166000366210938
369977,228.2411754472793,56.04643239211988,115.87110566994158,-1.9724832275137751,71.97324923759732,90.78586802622223,91.5698401231154,51.5828393279343,7.497417386483868,74458.0,b'',HIP 74458,1600815331482279936,7.1020002365112305
372794,222.87594816050535,59.5320802988106,104.45200623029645,-9.953282951818,64.10216978191185,81.86614436545722,98.82595783230803,51.606878869637285,11.413489780863458,,b'3867-1373-1',TYC 3867-1373-1,1617388373327299968,9.99899959564209
372542,226.10717528869648,59.880782624764606,107.32704167906921,-8.969131500401787,68.16147887560753,82.41760341819743,97.49628094142253,50.16665552362636,9.46007075346466,,b'3867-281-1',TYC 3867-281-1,1615954438365644544,8.454999923706055
357312,210.74889171383754,50.9717845249179,101.3714671458352,-6.58488156968175,46.235110775922685,89.97293047106206,98.10564799194421,62.56781611948827,6.180601532535828,68637.0,b'',HIP 68637,1512260905499856384,6.073999881744385
